Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
CICIDS;FGSM;distributive;1;5;1024;2;132,78156661987305;26,909964323043823;0,092432624352623;0,8320066805381721;0,9955456570155902;0,0052502378463453;0,0104453895405898;0,0658796775060362;4,7731329890313404e-06;0,9947497621536546;0,6503143108073277;0,6125629323292365;0,9947497621536546;0,8310823542946458;0,4482758620689655;0,0010688403669293;0,002132595908228;0,0149680245448376;0,0002672954473857;0,9989311596330708;0,6403708587926014;0,4430743338786549;0,9989311596330708
CICIDS;RANDOM_LINF;distributive;1;5;1024;2;132,78156661987305;11,292648315429688;0,1293263327852178;0,8320066805381721;0,9955456570155902;0,0052502378463453;0,0104453895405898;0,0658796775060362;4,7731329890313404e-06;0,9947497621536546;0,6503143108073277;0,6125629323292365;0,9947497621536546;0,8307134172103199;0,2745098039215686;0,0014799328157483;0,0029439940185518;0,0085115744142025;0,0007947266426737;0,9985200671842516;0,5397472599839299;0,1851618321719288;0,9985200671842516
CICIDS;RANDOM_L2;distributive;1;5;1024;2;132,78156661987305;7,4924280643463135;0,1271444468026406;0,8320066805381721;0,9955456570155902;0,0052502378463453;0,0104453895405898;0,0658796775060362;4,7731329890313404e-06;0,9947497621536546;0,6503143108073277;0,6125629323292365;0,9947497621536546;0,8307352360701457;0,2247191011235955;0,0009396398830148;0,0018714544710216;0,0039623314035016;0,0006586923524863;0,9990603601169852;0,5179476065969072;0,1701139185961364;0,9990603601169852
CICIDS;FGSM;distributive;1;5;1024;3;133,0451443195343;27,079232215881348;0,0178517944028677;0,8315504680145432;0,9820627802690582;0,0025722641797531;0,0051310887748646;0,0456606017899252;9,54626597806268e-06;0,9974277358202468;0,6563632907402351;0,6140832811210323;0,9974277358202468;0,8313719500705146;0,639821029082774;0,003359212581778;0,0066833360596359;0,0374472057476532;0,000384237205617;0,996640787418222;0,6061121754002105;0,159774355343812;0,996640787418222
CICIDS;RANDOM_LINF;distributive;1;5;1024;3;133,0451443195343;12,029690980911257;0,1803031234689611;0,8315504680145432;0,9820627802690582;0,0025722641797531;0,0051310887748646;0,0456606017899252;9,54626597806268e-06;0,9974277358202468;0,6563632907402351;0,6140832811210323;0,9974277358202468;0,8297474367798536;0,2334869431643625;0,0035706315554563;0,0070336992862183;0,0087755827258192;0,0023817933615266;0,9964293684445436;0,5373120854910896;0,1912003927838156;0,9964293684445436
CICIDS;RANDOM_L2;distributive;1;5;1024;3;133,0451443195343;9,283687114715576;0,2166017720881208;0,8315504680145432;0,9820627802690582;0,0025722641797531;0,0051310887748646;0,0456606017899252;9,54626597806268e-06;0,9974277358202468;0,6563632907402351;0,6140832811210323;0,9974277358202468;0,829384450293662;0,1787545787545787;0,0028659016431952;0,0056413576250809;0,001373892355382;0,002675341040352;0,9971340983568048;0,5161742138406571;0,1779584633161256;0,9971340983568048
CICIDS;FGSM;distributive;1;5;2048;2;132,14730858802795;29,02478313446045;0,2848352973613077;0,8318936191736206;0,9948979591836736;0,0045807444296973;0,0091195005319708;0,0615044234706759;4,7731329890313404e-06;0,9954192555703026;0,6645951681509327;0,6162369650611687;0,9954192555703026;0,8290452662000075;0,0536626916524701;0,0007399664078741;0,0014598032741302;-0,0148574997308849;0,0026514753754069;0,9992600335921258;0,6040004170521516;0,4116346900428082;0,9992600335921258
CICIDS;RANDOM_LINF;distributive;1;5;2048;2;132,14730858802795;9,182703256607056;0,1321032785812192;0,8318936191736206;0,9948979591836736;0,0045807444296973;0,0091195005319708;0,0615044234706759;4,7731329890313404e-06;0,9954192555703026;0,6645951681509327;0,6162369650611687;0,9954192555703026;0,8305725863878084;0,222;0,001303750337683;0,0025922768831957;0,0044678040694709;0,0009283743663665;0,998696249662317;0,5378769003321843;0,2536199545213918;0,998696249662317
CICIDS;RANDOM_L2;distributive;1;5;2048;2;132,14730858802795;7,459852695465088;0,1326983383946434;0,8318936191736206;0,9948979591836736;0,0045807444296973;0,0091195005319708;0,0615044234706759;4,7731329890313404e-06;0,9954192555703026;0,6645951681509327;0,6162369650611687;0,9954192555703026;0,8305666357896742;0,2016985138004246;0,0011158223610801;0,0022193668963906;0,0026790954225184;0,0008973490019378;0,99888417763892;0,5161221076761289;0,2359575623676835;0,99888417763892
CICIDS;FGSM;distributive;1;5;2048;3;133,57765555381775;22,24575924873352;0,2657933833315806;0,8325997568188895;0,996;0,008773887407651;0,0173945441209002;0,0852172179540661;7,159699483547011e-06;0,9912261125923488;0,6643222628468874;0,6161688657233692;0,9912261125923488;0,8299418229855737;0,3568683957732949;0,0087269054135002;0,0170371814127331;0,0323133579419579;0,0031956125361564;0,9912730945864996;0,67316603764151;0,200671011043009;0,9912730945864996
