Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
UNSW-NB15;FGSM;distributive;1;5;1024;2;5,216686010360718;20,471710920333862;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5004459459459459;0,7754103938079442;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,4978602311832701;0,7738076786204384;1,0
UNSW-NB15;RANDOM_LINF;distributive;1;5;1024;2;5,216686010360718;17,226836681365967;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5004459459459459;0,7754103938079442;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5051954075755805;0,7307455265441947;1,0
UNSW-NB15;RANDOM_L2;distributive;1;5;1024;2;5,216686010360718;17,411683082580566;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5004459459459459;0,7754103938079442;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,504405478142044;0,7307230507304397;1,0
UNSW-NB15;FGSM;distributive;1;5;1024;3;5,419609308242798;14,718224048614502;9,023223048146528;0,4502137686440266;1,0;0,0014779846466072;0,0029516068635873;0,0257826926977307;0,0;0,9985220153533928;0,5598243243243244;0,7909440985816059;0,9985220153533928;0,3599815381625613;0,2019915803108808;0,0550383834818671;0,0865057901671174;-0,2944319395955435;0,2664054054054054;0,9449616165181328;0,4973232583152287;0,7081209052630543;0,9449616165181328
UNSW-NB15;RANDOM_LINF;distributive;1;5;1024;3;5,419609308242798;13,772581338882446;-2,012583199727929;0,4502137686440266;1,0;0,0014779846466072;0,0029516068635873;0,0257826926977307;0,0;0,9985220153533928;0,5598243243243244;0,7909440985816059;0,9985220153533928;0,4703396006413059;0,612532637075718;0,1035030442071825;0,1770833333333333;0,0398768055654505;0,0802162162162162;0,8964969557928174;0,4946113654574896;0,6990734163501089;0,8964969557928174
UNSW-NB15;RANDOM_L2;distributive;1;5;1024;3;5,419609308242798;13,75670862197876;-2,006510226886266;0,4502137686440266;1,0;0,0014779846466072;0,0029516068635873;0,0257826926977307;0,0;0,9985220153533928;0,5598243243243244;0,7909440985816059;0,9985220153533928;0,4702788709128893;0,6142192691029901;0,101958881143563;0,1748869591539436;0,0405635639233496;0,0784594594594594;0,898041118856437;0,494423667965592;0,6997853203248621;0,898041118856437
UNSW-NB15;FGSM;distributive;1;5;2048;2;5,577337741851807;20,54444980621338;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0
UNSW-NB15;RANDOM_LINF;distributive;1;5;2048;2;5,577337741851807;20,75272297859192;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0
UNSW-NB15;RANDOM_L2;distributive;1;5;2048;2;5,577337741851807;20,956795930862427;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0
UNSW-NB15;FGSM;distributive;1;5;2048;3;5,470932960510254;20,578397512435917;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0
UNSW-NB15;RANDOM_LINF;distributive;1;5;2048;3;5,470932960510254;21,019135236740112;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0
UNSW-NB15;RANDOM_L2;distributive;1;5;2048;3;5,470932960510254;20,8164381980896;0,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0;0,4493999902832434;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,7753000048583782;1,0
UNSW-NB15;FGSM;distributive;1;10;1024;2;3,452151298522949;9,861732006072998;1,8024583394063045;0,4670723412524899;0,8888295029396045;0,0366849024971322;0,0704616232019151;0,1036862144966655;0,0056216216216216;0,9633150975028676;0,5;0,7753000048583782;0,9633150975028676;0,4490477578584269;0,1914893617021276;0,0001985352510367;0,0003966592476696;-0,0172536998290085;0,001027027027027;0,9998014647489633;0,5;0,7753000048583782;0,9998014647489633
